:ID;journal:string
12040115;World Wide Web
12040116;SIGMOD Rec.
12040117;SIGMOD Record
12040118;EAI Endorsed Trans. Ubiquitous Environ.
12040119;Int. J. Trust. Manag. Comput. Commun.
12040120;Expert Syst. Appl. X
12040121;Bull. dInformatique Approfondie et Appl.
12040122;Trans. Large Scale Data Knowl. Centered Syst.
12040123;Stud. Inform. Univ.
12040124;IEEE Intell. Transp. Syst. Mag.
12040125;Control. Cybern.
12040126;Syst. Control. Lett.
12040127;Sci. Comput. Program.
12040128;Found. Comput. Math.
12040129;Theor. Comput. Sci.
12040130;Electron. Notes Theor. Comput. Sci.
12040131;Inf. Technol. Dev.
12040132;EURASIP J. Adv. Signal Process.
12040133;IEEE Embed. Syst. Lett.
12040134;J. Assoc. Inf. Syst.
12040135;EAI Endorsed Trans. Ind. Networks Intell. Syst.
12040136;EAI Endorsed Trans. Cogn. Commun.
12040137;Int. J. Prod. Res.
12040138;Sci. Program.
12040139;Data Base
12040140;J. Lang. Model.
12040141;IET Comput. Digit. Tech.
12040142;Int. J. Syst. Sci.
12040143;WIREs Data Mining Knowl. Discov.
12040144;ACM SIGOPS Oper. Syst. Rev.
12040145;Comput. Support. Cooperative Work.
12040146;IEEE Trans. Instrum. Meas.
12040147;J. Artif. Intell. Res.
12040148;ACM Trans. Knowl. Discov. Data
12040149;Int. J. Soc. Netw. Min.
12040150;J. Netw. Intell.
12040151;Rundbr. GI Fachgr. 5 10 Informationssystem Archit.
12040152;J. Electron. Commer. Organ.
12040153;J. Commun. Inf. Networks
12040154;Int. J. Comput. Math. Learn.
12040155;Technol. Knowl. Learn.
12040156;J. Digit. Inf.
12040157;Perform. Evaluation
12040158;IEEE Trans. Intell. Veh.
12040159;IEEE Trans Autom. Sci. Eng.
12040160;Int. J. Comput. Linguistics Appl.
12040161;J. Web Eng.
12040162;J. Braz. Comput. Soc.
12040163;Math. Comput. For. Nat. Resour. Sci.
12040164;SIGART Newsl.
12040165;Intell.
12040166;SIGART Bull.
12040167;Int. J. Green Comput.
12040168;ACM Trans. Soc. Comput.
12040169;Data
12040170;IEEE Trans. Signal Inf. Process. over Networks
12040171;Inf. Polity
12040172;Int. J. Fuzzy Syst. Appl.
12040173;Adv. Hum. Comput. Interact.
12040174;Commun. Stat. Simul. Comput.
12040175;J. Comput. Inf. Technol.
12040176;Frontiers Neuroinformatics
12040177;Z. für Medienpsychologie
12040178;J. Media Psychol. Theor. Methods Appl.
12040179;Int. J. Metaheuristics
12040180;SIGCAS Comput. Soc.
12040181;Quant. Sci. Stud.
12040182;Photonic Netw. Commun.
12040183;Int. J. Adv. Intell. Paradigms
12040184;Eur. J. Control
12040185;Int. J. Artif. Intell. Educ.
12040186;Stat. Anal. Data Min.
12040187;ACM Trans. Auton. Adapt. Syst.
12040188;Atl. Mon.
12040189;Comput. Syst. Sci. Eng.
12040190;Netw. Model. Anal. Health Informatics Bioinform.
12040191;Adv. Appl. Math.
12040192;Int. J. Comput. Assist. Lang. Learn. Teach.
12040193;Electron. Commer. Res. Appl.
12040194;Int. J. Uncertain. Fuzziness Knowl. Based Syst.
12040195;Int. J. Comput. Model. Algorithms Medicine
12040196;Cryptogr. Commun.
12040197;Int. J. Cooperative Inf. Syst.
12040198;Artif. Intell. Rev.
12040199;J. Sens. Technol.
12040200;IEICE Trans. Fundam. Electron. Commun. Comput. Sci.
12040201;Informationstechnik Tech. Inform.
12040202;it Inf. Technol.
12040203;Elektron. Rechenanlagen
12040204;iJET
12040205;Int. J. Comput. Their Appl.
12040206;Int. J. Comput. Heal.
12040207;Commun. Inf. Syst.
12040208;Int. J. E Bus. Res.
12040209;Informing Sci. Int. J. an Emerg. Transdiscipl.
12040210;Int. J. Humanit. Arts Comput.
12040211;Int. J. E Health Medical Commun.
12040212;Int. J. Math. Oper. Res.
12040213;Int. J. Digit. Crime Forensics
12040214;Trans. Inst. Meas. Control
12040215;AI Open
12040216;Dyn. Games Appl.
12040217;Int. J. Biom.
12040218;Technol. Anal. Strateg. Manag.
12040219;J. Commun.
12040220;Prog. Artif. Intell.
12040221;Image Vis. Comput.
12040222;Comput. Environ. Urban Syst.
12040223;J. Inf. Technol. Manag.
12040224;J. Graph Theory
12040225;J. Artif. Soc. Soc. Simul.
12040226;Genet. Program. Evolvable Mach.
12040227;IEEE Trans. Parallel Distributed Syst.
12040228;IEEE Trans. Circuits Syst. Video Technol.
12040229;Robotics Auton. Syst.
12040230;Robotics
12040231;Arch. Mus. Informatics
12040232;Biomed. Signal Process. Control.
12040233;Database J. Biol. Databases Curation
12040234;Found. Trends Stoch. Syst.
12040235;Found. Trends Electron. Des. Autom.
12040236;AKCE Int. J. Graphs Comb.
12040237;J. Inf. Process. Cybern.
12040238;Schedae Informaticae
12040239;J. Inf. Commun. Ethics Soc.
12040240;IEEE Trans. Cogn. Dev. Syst.
12040241;IEEE Trans. Auton. Ment. Dev.
12040242;J. Comput. Mediat. Commun.
12040243;Math. Found. Comput.
12040244;Int. J. Monit. Surveillance Technol. Res.
12040245;Comput. Electr. Eng.
12040246;Hum. Comput. Interact.
12040247;Int. J. Parallel Program.
12040248;EAI Endorsed Trans. e Bus.
12040249;Int. J. Comput. Intell. Appl.
12040250;Int. J. Web Based Communities
12040251;ICT Express
12040252;IEEE Trans. Ind. Informatics
12040253;Decis. Anal.
12040254;Aust. Comput. J.
12040255;J. Res. Pract. Inf. Technol.
12040256;Mechatron. Syst. Control.
12040257;Control. Intell. Syst.
12040258;Top. Cogn. Sci.
12040259;Appl. Soft Comput.
12040260;J. Inf. Data Manag.
12040261;Rev. Symb. Log.
12040262;IEEE Cloud Comput.
12040263;Quantum Eng.
12040264;ISPRS Int. J. Geo Inf.
12040265;Neuromorph. Comput. Eng.
12040266;Int. J. Metadata Semant. Ontologies
12040267;J. Inform. and Commun. Convergence Engineering
12040268;J. Object Technol.
12040269;EAI Endorsed Trans. e Learn.
12040270;IEEE Trans. Affect. Comput.
12040271;Found. Trends Robotics
12040272;Kybernetika
12040273;Int. J. Serious Games
12040274;IBM Syst. J.
12040275;Expert Syst. Appl.
12040276;Comput. Electron. Agric.
12040277;Trans. Comput. Sci.
12040278;Nat.
12040279;Int. J. Synth. Emot.
12040280;Scholarpedia
12040281;Found. Trends Comput. Graph. Vis.
12040282;Int. J. Secur. Softw. Eng.
12040283;J. Percept. Imaging
12040284;Autom. Remote. Control.
12040285;Int. J. Signs Semiot. Syst.
12040286;Int. J. Virtual Communities Soc. Netw.
12040287;Proces. del Leng. Natural
12040288;Computación y Sistemas
12040289;ISC Int. J. Inf. Secur.
12040290;IEEE Trans. Biomed. Eng.
12040291;Int. J. Bus. Intell. Res.
12040292;Int. J. Knowl. Web Intell.
12040293;Autom. Control. Comput. Sci.
12040294;Math. Log. Q.
12040295;Multidimens. Syst. Signal Process.
12040296;J. Econ. Theory
12040297;Int. J. Cloud Appl. Comput.
12040298;Trans. Rough Sets
12040299;Cyberpsychology Behav. Soc. Netw.
12040300;Auton. Robots
12040301;J. Robotics Mechatronics
12040302;Int. J. Commun. Syst.
12040303;Learn. Publ.
12040304;Int. J. Inf. Qual.
12040305;Math. Comput.
12040306;RITA
12040307;Int. J. Cyber Ethics Educ.
12040308;J. Grid Comput.
12040309;Asia Pac. J. Oper. Res.
12040310;J. Syst. Integr.
12040311;Int. J. ICT Res. Afr. Middle East
12040312;J. Oper. Res. Soc.
12040313;Complex.
12040314;ACM Trans. Comput. Theory
12040315;J. Integr. Des. Process. Sci.
12040316;Trans. SDPS
12040317;Probl. Inf. Transm.
12040318;Inf. Organ.
12040319;IGTR
12040320;J. Softw. Eng. Appl.
12040321;J. Cybersecur.
12040322;Math. Comput. Simul.
12040323;Dagstuhl Manifestos
12040324;J. Internet Serv. Inf. Secur.
12040325;Reports Math. Log.
12040326;J. Organ. End User Comput.
12040327;Acta Numer.
12040328;Int. J. Inf. Technol. Proj. Manag.
12040329;IEEE Trans. Circuits Syst. II Express Briefs
12040330;IEEE Trans. Circuits Syst. I Regul. Pap.
12040331;IEEE Trans. Circuits Syst.
12040332;IEEE Trans. Circuits Syst. I Fundam. Theory Appl.
12040333;IEEE Trans. on Circuits and Systems
12040334;High. Order Symb. Comput.
12040335;LISP Symb. Comput.
12040336;Int. J. Inf. Syst. Chang. Manag.
12040337;Inf. Res.
12040338;Quant. Biol.
12040339;Int. J. Electron. Heal.
12040340;Wirel. Pers. Commun.
12040341;J. Sci. Res.
12040342;Int. J. Inf. Syst. Model. Des.
12040343;ACM Journal on Computing and Cultural Heritage
12040344;Künstliche Intell.
12040345;IEEE Commun. Surv. Tutorials
12040346;Hum. centric Comput. Inf. Sci.
12040347;IEEE Ann. Hist. Comput.
12040348;J. Syst. Inf. Technol.
12040349;Adv. Math. Commun.
12040350;Int. J. Appl. Cryptogr.
12040351;J. Ambient Intell. Humaniz. Comput.
12040352;IEEE Softw.
12040353;IEEE Trans. Wirel. Commun.
12040354;Electron. Netw. Res. Appl. Policy
12040355;Comb. Probab. Comput.
12040356;Int. J. Internet Enterp. Manag.
12040357;Math. Syst. Theory
12040358;Theory Comput. Syst.
12040359;IMA J. Math. Control. Inf.
12040360;Int. J. Nat. Comput. Res.
12040361;Comput. Law Secur. Rev.
12040362;Discret. Appl. Math.
12040363;Integr.
12040364;Organ. Sci.
12040365;Int. J. Pattern Recognit. Artif. Intell.
12040366;IEEE Trans. Signal Process.
12040367;IEEE Trans. Acoust. Speech Signal Process.
12040368;ACM Trans. Speech Lang. Process.
12040369;J. Comput. Phys. X
12040370;Appl. Clin. Inform.
12040371;Int. J. Interdiscip. Telecommun. Netw.
12040372;Ann. Softw. Eng.
12040373;Online Inf. Rev.
12040374;J. Comput. Sci. Technol.
12040375;ACM Trans. Model. Comput. Simul.
12040376;Trans. Int. Soc. Music. Inf. Retr.
12040377;Adv. Bioinformatics
12040378;Univers. Access Inf. Soc.
12040379;Comput. Educ. Artif. Intell.
12040380;Comput. Speech Lang.
12040381;Int. J. Manuf. Res.
12040382;Internet High. Educ.
12040383;J. Glob. Inf. Manag.
12040384;Autom.
12040385;IEEE Internet Comput.
12040386;Numer. Algorithms
12040387;Appl. Comput. Intell. Soft Comput.
12040388;Program. Comput. Softw.
12040389;Leibniz Trans. Embed. Syst.
12040390;Int. J. Electron. Commer.
12040391;J. Documentation
12040392;Remote. Sens.
12040393;D Lib Mag.
12040394;Comput. Meas. Group Trans.
12040395;Int. J. Technol. Educ. Mark.
12040396;J. Cyber Secur. Mobil.
12040397;Adv. Numer. Anal.
12040398;J. Syst. Sci. Complex.
12040399;J. Sensors
12040400;Comput. Stand. Interfaces
12040401;e Minds Int. J. Hum. Comput. Interact.
12040402;SIGMETRICS Perform. Evaluation Rev.
12040403;Int. J. Knowl. Manag.
12040404;J. Soc. Struct.
12040405;SIAM J. Matrix Anal. Appl.
12040406;SIAM J. Algebraic Discret. Methods
12040407;Complex Adapt. Syst. Model.
12040408;Log. Methods Comput. Sci.
12040409;ACM Trans. Reconfigurable Technol. Syst.
12040410;Int. J. Rough Sets Data Anal.
12040411;Int. J. Intell. Def. Support Syst.
12040412;Grammars
12040413;Int. J. Commun. Networks Distributed Syst.
12040414;EAI Endorsed Trans. Energy Web
12040415;Pattern Recognit. Lett.
12040416;Int. J. Inf. Manag.
12040417;Frontiers Bioinform.
12040418;Real Time Syst.
12040419;Minds Mach.
12040420;Ann. Math. Artif. Intell.
12040421;IEICE Trans. Commun.
12040422;IEICE Trans. Inf. Syst.
12040423;IEICE Trans. Electron.
12040424;Int. J. Unconv. Comput.
12040425;Netw. Commun. Technol.
12040426;Libr. Hi Tech
12040427;Rev. Int. Géomatique
12040428;Numerische Mathematik
12040429;Nucleic Acids Res.
12040430;Int. J. Data Warehous. Min.
12040431;Comput. Medical Imaging Graph.
12040432;Comput. Intell.
12040433;Sci. Eng. Ethics
12040434;IEEE ACM Trans. Comput. Biol. Bioinform.
12040435;Inf. Technol. Control.
12040436;Frontiers Comput. Sci. China
12040437;Frontiers Comput. Sci.
12040438;Formaliz. Math.
12040439;Multim. Syst.
12040440;J. Discrete Algorithms
12040441;J. Telecommun. High Technol. Law
12040442;Int. J. Agric. Environ. Inf. Syst.
12040443;J. Mobile Multimedia
12040444;Comput. Syst.
12040445;Int. J. Dependable Trust. Inf. Syst.
12040446;J. Cell. Autom.
12040447;LNCS Trans. Aspect Oriented Softw. Dev.
12040448;LNCS Trans. Modul. Compos.
12040449;J. Data Inf. Sci.
12040450;Trans. Data Sci.
12040451;J. Control. Sci. Eng.
12040452;Comput. Appl. Eng. Educ.
12040453;Constraints An Int. J.
12040454;Trans. Mass Data Anal. Images Signals
12040455;Acta Cybern.
12040456;Interact. Technol. Smart Educ.
12040457;Comput. Geom.
12040458;Informatica
12040459;IFAC J. Syst. Control.
12040460;J. Log. Algebraic Methods Program.
12040461;IEEE Instrum. Meas. Mag.
12040462;IEEE Trans. Inf. Technol. Biomed.
12040463;IEEE J. Biomed. Health Informatics
12040464;J. Biomed. Informatics
12040465;Comput. Biomed. Res.
12040466;Appl. Netw. Sci.
12040467;Autom. Softw. Eng.
12040468;Int. J. Crit. Comput. Based Syst.
12040469;Neue Einsichten eines Informatikers von geringem Verstande
12040470;Int. J. Creative Comput.
12040471;Int. J. Virtual Real.
12040472;Medical Image Anal.
12040473;Comput.
12040474;J. Comb. Theory, Ser. B
12040475;Simul. Notes Eur.
12040476;IET Networks
12040477;New Gener. Comput.
12040478;Int. J. Inf. Commun. Technol.
12040479;IEEE Trans. Fuzzy Syst.
12040480;Phys. Commun.
12040481;Micromachines
12040482;IEEE Des. Test Comput.
12040483;IEEE Des. Test
12040484;J. Wirel. Mob. Networks Ubiquitous Comput. Dependable Appl.
12040485;Digit. Signal Process.
12040486;Appl. Intell.
12040487;J. Graph Algorithms Appl.
12040488;IET Inf. Secur.
12040489;J. Rail Transp. Plan. Manag.
12040490;Algorithmic Finance
12040491;IEEE Trans. Software Eng.
12040492;Appl. Ontology
12040493;J. Log. Program.
12040494;Dagstuhl Reports
12040495;Int. J. Hum. Cap. Inf. Technol. Prof.
12040496;Int. J. High Perform. Comput. Appl.
12040497;IEEE Distributed Syst. Online
12040498;Open J. Semantic Web
12040499;Int. J. Inf. Syst. Soc. Chang.
12040500;Int. J. Data Min. Bioinform.
12040501;Int. J. Model. Identif. Control.
12040502;Int. J. Chemoinformatics Chem. Eng.
12040503;J. Bank. Financial Technol.
12040504;OMICS
12040505;J. Spatial Inf. Sci.
12040506;IEEE Trans. Big Data
12040507;Adapt. Behav.
12040508;Eur. J. Oper. Res.
12040509;Eng. Appl. Artif. Intell.
12040510;Int. J. Big Data Intell.
12040511;Health Informatics J.
12040512;Synth.
12040513;Int. J. Intell. Syst.
12040514;Int. J. Syst. Serv. Oriented Eng.
12040515;Trans. Digit. Games Res. Assoc.
12040516;J. Inf. Technol. Theory Appl.
12040517;Internet Policy Rev.
12040518;J. Comput. Networks Commun.
12040519;Hist. Comput.
12040520;Technometrics
12040521;Entropy
12040522;Int. J. Crit. Infrastructures
12040523;Int. J. Control
12040524;Inf. Secur. J. A Glob. Perspect.
12040525;Oper. Res.
12040526;ACM Trans. Economics and Comput.
12040527;IxD&A
12040528;INFORMS Trans. Educ.
12040529;Int. J. Inf. Commun. Technol. Educ.
12040530;J. Comput. Geom.
12040531;Int. J. Inf. Priv. Secur. Integr.
12040532;Int. J. Inf. Syst. Serv. Sect.
12040533;J. Log. Lang. Inf.
12040534;Int. J. Secur. Priv. Pervasive Comput.
12040535;Int. J. Multim. Inf. Retr.
12040536;J. Inf. Syst. Educ.
12040537;Int. J. 3 D Inf. Model.
12040538;IEEE Trans. Neural Networks
12040539;IEEE Trans. Neural Networks Learn. Syst.
12040540;Monte Carlo Methods Appl.
12040541;Int. J. Intell. Inf. Process.
12040542;Int. J. Cyber Phys. Syst.
12040543;Res. Comput. Sci.
12040544;Comput. Vis. Sci.
12040545;Int. J. High Perform. Syst. Archit.
12040546;ACM Trans. Comput. Hum. Interact.
12040547;Adv. Data Anal. Classif.
12040548;J. Simulation
12040549;Inf. Technol. People
12040550;Int. J. Autom. Comput.
12040551;ACM Trans. Comput. Heal.
12040552;Int. J. Artif. Intell. Mach. Learn.
12040553;EAI Endorsed Trans. Scalable Inf. Syst.
12040554;Signal Process.
12040555;Annu. Rev. Control.
12040556;Int. J. Model. Simul. Sci. Comput.
12040557;J. Medical Robotics Res.
12040558;Proc. Priv. Enhancing Technol.
12040559;Roars Trans.
12040560;IEEE Trans. Aerosp. Electron. Syst.
12040561;Eur. J. Law Technol.
12040562;Int. J. Comput. Sci. Math.
12040563;Comput. Sci. Eng.
12040564;Inf.
12040565;Proc. ACM Hum. Comput. Interact.
12040566;J. Decis. Syst.
12040567;SIAM J. Discret. Math.
12040568;Comput. Oper. Res.
12040569;Adv. Eng. Informatics
12040570;Artif. Intell. Eng.
12040571;Int. J. Geogr. Inf. Sci.
12040572;R J.
12040573;Rev. d'Intelligence Artif.
12040574;ACM Commun. Comput. Algebra
12040575;SIGSAM Bull.
12040576;J. Cases Inf. Technol.
12040577;J. Math. Log.
12040578;J. Program. Lang.
12040579;Int. J. Digit. Multim. Broadcast.
12040580;J. Geogr. Syst.
12040581;Inf. Sci.
12040582;RAIRO Oper. Res.
12040583;J. Symb. Log.
12040584;CLEI Electron. J.
12040585;Random Struct. Algorithms
12040586;IEEE Trans. Educ.
12040587;Comput. Math. Appl.
12040588;Int. J. Comput. Sci. Sport
12040589;Electron. Trans. Artif. Intell.
12040590;Wirel. Networks
12040591;IET Softw.
12040592;IEE Proc. Softw.
12040593;Softw. Eng. J.
12040594;IEE Proc. Softw. Eng.
12040595;J. Data Semant.
12040596;IEEE Data Eng. Bull.
12040597;IEEE Database Eng. Bull.
12040598;J. Enterp. Inf. Manag.
12040599;J. Funct. Program.
12040600;Reliab. Eng. Syst. Saf.
12040601;OR Insight
12040602;Int. J. Data Anal. Tech. Strateg.
12040603;Int. J. Netw. Secur.
12040604;Cartogr. Int. J. Geogr. Inf. Geovisualization
12040605;Int. J. Comput. Vis.
12040606;Comput. Vis. Media
12040607;Microprocess. Microsystems
12040608;Microprocess.
12040609;J. Comput. Methods Sci. Eng.
12040610;Complex Syst. Informatics Model. Q.
12040611;Eng. Comput.
12040612;Australas. J Comb.
12040613;New Rev. Hypermedia Multim.
12040614;Int. J. Appl. Metaheuristic Comput.
12040615;ACM SIGPLAN Notices
12040616;IEEE Commun. Stand. Mag.
12040617;Inf. Softw. Technol.
12040618;Information & Software Technology
12040619;CoRR
12040620;arXiv
12040621;Int. J. Interact. Mob. Technol.
12040622;EAI Endorsed Trans. Creative Technol.
12040623;Frontiers Big Data
12040624;SIGIR Forum
12040625;RFC
12040626;Displays
12040627;IEEE Trans. Broadcast.
12040628;Int. J. Concept. Struct. Smart Appl.
12040629;计算机科学
12040630;Evol. Intell.
12040631;Adv. Artif. Neural Syst.
12040632;Comput. Inf. Sci.
12040633;Trans. Pattern Lang. Program.
12040634;EAI Endorsed Trans. Ambient Syst.
12040635;Int. J. Embed. Real Time Commun. Syst.
12040636;ACM SIGCSE Bull.
12040637;IEEE Trans. Image Process.
12040638;Eur. Trans. Telecommun.
12040639;Trans. Emerg. Telecommun. Technol.
12040640;IEEE Trans. Syst. Sci. Cybern.
12040641;J. Hardw. Syst. Secur.
12040642;IEEE Trans. Control. Syst. Technol.
12040643;Comput. Aided Civ. Infrastructure Eng.
12040644;Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.
12040645;Stat. Methods Appl.
12040646;LOPLAS
12040647;EURASIP J. Audio Speech Music. Process.
12040648;Int. J. e Collab.
12040649;Comput. Educ.
12040650;J. Chem. Inf. Model.
12040651;J. Chem. Inf. Comput. Sci.
12040652;Int. J. Space Based Situated Comput.
12040653;IEEE Internet Things Mag.
12040654;Int. J. People Oriented Program.
12040655;Axioms
12040656;IEEE Wirel. Commun.
12040657;Ubiquity
12040658;Open J. Cloud Comput.
12040659;Inf. Syst. Manag.
12040660;J. Comput. Neurosci.
12040661;Int. J. Sociotechnology Knowl. Dev.
12040662;J. Formaliz. Reason.
12040663;Int. J. Cyber Situational Aware.
12040664;J. Inf. Sci.
12040665;Int. J. Serv. Technol. Manag.
12040666;Sci. Robotics
12040667;Comput. Math. Methods Medicine
12040668;SIAM J. Control. Optim.
12040669;Comput. Networks
12040670;Comput. Networks ISDN Syst.
12040671;IEEE Trans. Medical Imaging
12040672;Int. J. Inf. Technol. Commun. Convergence
12040673;Array
12040674;Int. J. Electron. Bus.
12040675;Int. J. Oper. Res. Inf. Syst.
12040676;Int. J. Adv. Comp. Techn.
12040677;Proc. ACM Meas. Anal. Comput. Syst.
12040678;Kognitionswissenschaft
12040679;Int. J. Softw. Tools Technol. Transf.
12040680;Comput. und Recht
12040681;Computer und Recht
12040682;J. Appl. Math.
12040683;IEEE Signal Process. Lett.
12040684;Adv. Oper. Res.
12040685;Internet Things
12040686;Big Data Cogn. Comput.
12040687;IEEE Technol. Soc. Mag.
12040688;Simul.
12040689;J. Netw. Syst. Manag.
12040690;Int. J. Imaging Syst. Technol.
12040691;Data Qual.
12040692;Int. J. Adv. Oper. Manag.
12040693;Intell. Decis. Technol.
12040694;J. Cryptogr. Eng.
12040695;EAI Endorsed Trans. Wirel. Spectr.
12040696;J. Digit. Forensics Secur. Law
12040697;Inf. Knowl. Syst. Manag.
12040698;Linguamática
12040699;Electron. Libr.
12040700;J. Inf. Syst.
12040701;Scalable Comput. Pract. Exp.
12040702;J. Inf. Technol. Educ.
12040703;J. Autom. Mob. Robotics Intell. Syst.
12040704;Online Soc. Networks Media
12040705;IEEE Robotics Autom. Mag.
12040706;Australas. J. Inf. Syst.
12040707;J. Game Dev.
12040708;Sci.
12040709;Appl. Comput. Syst.
12040710;Robotics Comput. Integr. Manuf.
12040711;Biosyst.
12040712;Int. J. Bus. Inf. Syst.
12040713;ACM Trans. Design Autom. Electr. Syst.
12040714;Formal Aspects Comput.
12040715;J. Autom. Reason.
12040716;SIGecom Exch.
12040717;Comput. Optim. Appl.
12040718;HMD Prax. Wirtsch.
12040719;Presence Teleoperators Virtual Environ.
12040720;Appl. Math. Comput.
12040721;Found. Trends Mach. Learn.
12040722;Knowl. Based Syst.
12040723;J. Vis. Lang. Comput.
12040724;J. Vis. Lang. Sentient Syst.
12040725;Int. Arab J. Inf. Technol.
12040726;Secur. Informatics
12040727;Found. Trends Microeconomics
12040728;Int. J. Intell. Games Simul.
12040729;Tech. Sci. Informatiques
12040730;Vis. Informatics
12040731;IEEE Open J. Comput. Soc.
12040732;Wirel. Eng. Technol.
12040733;Int. J. Digit. Earth
12040734;Parallel Process. Lett.
12040735;J. Commun. Networks
12040736;Trans. Comp. Sys. Biology
12040737;Ad Hoc Networks
12040738;J. Priv. Confidentiality
12040739;Comput. J.
12040740;IEEE Trans. Comput. Soc. Syst.
12040741;Int. J. Adv. Media Commun.
12040742;J. Frankl. Inst.
12040743;IEEE Trans. Netw. Serv. Manag.
12040744;Sensors
12040745;Syst. Eng.
12040746;Mech. Transl. Comput. Linguistics
12040747;Groups Complex. Cryptol.
12040748;Lang. Linguistics Compass
12040749;IEEE Trans. Emerg. Top. Comput.
12040750;Lang. Resour. Evaluation
12040751;Comput. Humanit.
12040752;Comput. Methods Appl. Math.
12040753;Nat. Lang. Eng.
12040754;Int. J. Intell. Transp. Syst. Res.
12040755;Int. J. Interact. Multim. Artif. Intell.
12040756;J. Instr. Level Parallelism
12040757;Comput. Aided Geom. Des.
